,trial,lerperror,gprerror,errordiff
0,s1-conversation-lighting,9.94,8.95,-1.0
1,s1-freestyle-lighting,62.76,40.78,-21.97
2,s1-shoelaces-lighting,47.73,36.82,-10.91
3,s2-conversation-normal,20.86,14.34,-6.52
4,s2-freestyle-normal,71.8,54.27,-17.53
5,s2-shoelaces-normal,48.62,35.7,-12.92
6,s3-conversation-object,3.91,3.23,-0.68
7,s3-freestyle-object,108.61,75.56,-33.04
8,s3-shoelaces-object,29.56,15.9,-13.66
9,s4-conversation-person,14.34,10.62,-3.72
10,s4-freestyle-person,53.79,28.09,-25.7
11,s4-shoelaces-person,43.18,25.39,-17.79
12,s5-drinking-lighting,10.22,5.99,-4.23
13,s5-jumpingjacks-lighting,-,-,-
14,s5-walking-lighting,105.96,60.73,-45.23
15,s6-drinking-normal,14.5,8.6,-5.9
16,s6-jumpingjacks-normal,198.07,189.93,-8.14
17,s6-walking-normal,69.71,42.54,-27.16
18,s7-drinking-object,10.39,5.25,-5.15
19,s7-jumpingjacks-object,225.13,217.3,-7.82
20,s7-walking-object,69.23,43.78,-25.45
21,s8-drinking-person,11.75,7.41,-4.34
22,s8-jumpingjacks-person,187.92,168.92,-19.0
23,s8-walking-person,74.7,45.19,-29.51
