trial,lerperror,gprerror
s1-conversation-lighting,9.944122504378633,8.948071838576464
s1-freestyle-lighting,62.75504876656062,40.78463099170574
s1-shoelaces-lighting,47.73477442732595,36.82168598622122
s2-conversation-normal,20.864343747020094,14.343589137375247
s2-freestyle-normal,71.7954807389407,54.26824830569643
s2-shoelaces-normal,48.619647320575304,35.70387024035099
s3-conversation-object,3.909663467928538,3.2290146828481054
s3-freestyle-object,108.6080107350095,75.56496908284588
s3-shoelaces-object,29.560985779050128,15.900349946340897
s4-conversation-person,14.342410792532583,10.624173657387413
s4-freestyle-person,53.7922902271607,28.092563101370438
s4-shoelaces-person,43.182918153451205,25.39490916106707
s5-drinking-lighting,10.219414025047104,5.9859577614010595
s5-jumpingjacks-lighting,,
s5-walking-lighting,105.96453641127498,60.730370345177064
s6-drinking-normal,14.503268419842422,8.59892923318381
s6-jumpingjacks-normal,198.0696083242522,189.93287243583933
s6-walking-normal,69.70599884582145,42.544780457186356
s7-drinking-object,10.393744552373956,5.246104030178825
s7-jumpingjacks-object,225.12701451788047,217.30495473572137
s7-walking-object,69.2267356791183,43.77599778983115
s8-drinking-person,11.750492698067116,7.4115494911427735
s8-jumpingjacks-person,187.91690247328017,168.91847787278166
s8-walking-person,74.69849748001002,45.18553261693839
